
y	mTm0	 Proton		Deuteron	Pion		Electron
-1     0.0875     0.589858 +- 0.00754471      8.5684e-08 +- 15.6995     0.360608 +- 0.0089266      0.0495337 +- 0.0211536
-1     0.1125     0.624501 +- 0.00627315      3.26279e-09 +- 68.0922     0.347824 +- 0.00765647      0.0276755 +- 0.0237013
-1     0.1375     0.652843 +- 0.00594026      3.43345e-10 +- 201.478     0.333076 +- 0.00746879      0.014081 +- 0.0316821
-1     0.1625     0.668022 +- 0.00579075      5.86654e-11 +- 478.451     0.32688 +- 0.0073833      0.00509832 +- 0.0514541
-1     0.1875     0.689485 +- 0.00571137      4.46991e-11 +- 545.728     0.308537 +- 0.00751389      0.00197778 +- 0.0821231
-1     0.2125     0.710209 +- 0.00576414      1.15123e-10 +- 346.196     0.28937 +- 0.00784089      0.000421259 +- 0.181017
-1     0.2375     0.736824 +- 0.00591431      3.89951e-10 +- 195.076     0.262829 +- 0.00844392      0.000346939 +- 0.206851
-1     0.2625     0.760992 +- 0.00611781      2.93275e-09 +- 74.2626     0.238786 +- 0.00916011      0.000222069 +- 0.269905
-1     0.2875     0.782721 +- 0.00634897      9.55959e-09 +- 43.0274     0.217212 +- 0.00995879      6.69877e-05 +- 0.514023
-1     0.3125     0.801652 +- 0.00661028      5.42343e-08 +- 18.9339     0.198145 +- 0.0108428      0.000202779 +- 0.309678
-1     0.3375     0.806019 +- 0.00697139      3.82368e-07 +- 7.53165     0.193981 +- 0.0115545      0  
-1     0.3625     0.826186 +- 0.00724164      1.26289e-06 +- 4.33432     0.173813 +- 0.0126579      0  
-1     0.3875     0.848213 +- 0.00754987      3.29359e-06 +- 2.81827     0.151784 +- 0.0140893      0  
